second,hand_2_x,hand_2_y,state
0.04,414,383,1
0.08,415,383,1
0.12,415,383,1
0.16,414,382,1
0.2,414,382,1
0.24,415,382,1
0.28,416,382,1
0.32,416,381,1
0.36,418,381,1
0.4,421,382,1
0.44,424,384,1
0.48,427,387,1
0.52,430,387,1
0.56,434,390,1
0.6,438,392,1
0.64,441,394,1
0.68,444,396,1
0.72,446,398,1
0.76,446,398,1
0.8,446,398,1
0.84,446,398,1
0.88,446,398,1
0.92,446,398,1
0.96,446,398,1
1,448,399,1
1.04,448,401,1
1.08,449,401,1
1.12,449,401,1
1.16,450,401,1
1.2,449,401,1
1.24,449,401,1
1.28,449,401,1
1.32,449,400,1
1.36,449,400,1
1.4,449,400,1
1.44,448,400,1
1.48,449,400,1
1.52,448,399,1
1.56,448,399,1
1.6,448,398,1
1.64,448,398,1
1.68,447,396,1
1.72,445,395,1
1.76,443,392,1
1.8,441,391,1
1.84,438,388,1
1.88,434,387,1
1.92,430,386,1
1.96,426,384,1
2,421,382,1
2.04,417,381,1
2.08,413,380,1
2.12,410,380,1
2.16,408,380,1
2.2,407,380,1
2.24,407,380,1
2.28,407,380,1
2.32,407,380,1
2.36,408,380,1
2.4,408,380,1
2.44,408,380,1
2.48,408,380,1
2.52,408,379,1
2.56,409,379,1
2.6,409,378,1
2.64,410,378,1
2.68,412,379,1
2.72,415,380,1
2.76,417,381,1
2.8,420,382,1
2.84,424,382,1
2.88,428,384,1
2.92,432,386,1
2.96,437,389,1
3,440,391,1
3.04,444,395,1
3.08,445,396,1
3.12,447,397,1
3.16,447,398,1
3.2,446,398,1
3.24,446,398,1
3.28,446,399,1
3.32,446,399,1
3.36,446,399,1
3.4,446,398,1
3.44,446,398,1
3.48,445,398,1
3.52,445,397,1
3.56,445,396,1
3.6,443,394,1
3.64,440,391,1
3.68,436,389,1
3.72,431,387,1
3.76,425,385,1
3.8,419,382,1
3.84,414,380,1
3.88,410,379,1
3.92,408,379,1
3.96,406,381,1
4,406,381,1
4.04,406,381,1
4.08,406,381,1
4.12,406,380,1
4.16,406,381,1
4.2,406,379,1
4.24,407,378,1
4.28,408,378,1
4.32,409,378,1
4.36,411,378,1
4.4,414,379,1
4.44,418,381,1
4.48,422,382,1
4.52,427,385,1
4.56,431,388,1
4.6,436,390,1
4.64,440,393,1
4.68,442,396,1
4.72,444,397,1
4.76,445,398,1
4.8,444,398,1
4.84,443,398,1
4.88,443,399,1
4.92,443,399,1
4.96,443,399,1
5,443,399,1
5.04,443,398,1
5.08,443,398,1
5.12,442,397,1
5.16,440,395,1
5.2,438,392,1
5.24,435,390,1
5.28,431,387,1
5.32,426,384,1
5.36,421,381,1
5.4,416,380,1
5.44,412,379,1
5.48,408,379,1
5.52,406,379,1
5.56,405,381,1
5.6,405,381,1
5.64,405,381,1
5.68,406,380,1
5.72,406,380,1
5.76,407,379,1
5.8,408,379,1
5.84,409,379,1
5.88,410,379,1
5.92,411,379,1
5.96,413,378,1
6,415,377,1
6.04,418,378,1
6.08,422,380,1
6.12,426,381,1
6.16,430,383,1
6.2,435,386,1
6.24,440,389,1
6.28,443,392,1
6.32,446,395,1
6.36,447,397,1
6.4,448,398,1
6.44,448,400,1
6.48,447,400,1
6.52,447,400,1
6.56,447,400,1
6.6,447,400,1
6.64,447,400,1
6.68,447,400,1
6.72,447,399,1
6.76,447,399,1
6.8,447,398,1
6.84,446,396,1
6.88,445,394,1
6.92,443,392,1
6.96,440,390,1
7,436,388,1
7.04,432,386,1
7.08,428,383,1
7.12,423,382,1
7.16,418,380,1
7.2,413,378,1
7.24,408,377,1
7.28,405,377,1
7.32,404,376,1
7.36,403,377,1
7.4,403,377,1
7.44,403,377,1
7.48,404,376,1
7.52,405,376,1
7.56,405,377,1
7.6,405,377,1
7.64,405,377,1
7.68,404,378,1
7.72,405,378,1
7.76,405,378,1
7.8,405,377,1
7.84,407,377,1
7.88,409,377,1
7.92,412,377,1
7.96,415,376,1
8,420,377,1
8.04,426,379,1
8.08,432,382,1
8.12,439,386,1
8.16,444,389,1
8.2,447,392,1
8.24,449,393,1
